asset_id,asset_type,manufacturer,site,rack_number,rack_unit,status,lifecycle_stage,vendor,purchase_date,unit_cost,warranty_expiry,warranty_active,age_years,utilization_pct,last_audit_date,purchase_year,days_since_audit,needs_audit
AST-20951,Optical Transceiver,Arista,NewYork-DC1,R34,U19,Active,End of Support,CoreEquip Distribution,2018-01-01,741.08,2020-12-31,False,8.0,57.7,2025-01-28,2018,338,True
AST-21597,Patch Panel,Juniper,Chicago-DC1,R26,U32,Active,End of Support,Infra Partners Inc,2018-01-01,652.68,2020-12-31,False,8.0,36.4,2025-11-06,2018,56,False
AST-20045,Server,HPE,NewYork-DC1,R28,U38,Active,End of Support,Infra Partners Inc,2018-01-02,13607.41,2023-01-01,False,8.0,67.4,2025-02-24,2018,311,True
AST-20468,Router,Nokia,Phoenix-DC1,R18,U26,Active,End of Support,CoreEquip Distribution,2018-01-02,4910.54,2021-01-01,False,8.0,68.6,2025-07-04,2018,181,True
AST-22127,Storage Array,Nokia,Chicago-DC1,R23,U25,Active,End of Support,TechServe Logistics,2018-01-03,12296.21,2021-01-02,False,8.0,47.3,2025-01-18,2018,348,True
AST-22413,Switch,Palo Alto Networks,Seattle-DC1,R06,U7,Active,End of Support,Infra Partners Inc,2018-01-06,6175.28,2023-01-05,False,8.0,86.6,2025-07-20,2018,165,False
AST-22103,Optical Transceiver,Dell,Denver-DC1,R11,U27,Active,End of Support,CoreEquip Distribution,2018-01-08,1195.67,2023-01-07,False,8.0,28.7,2025-02-19,2018,316,True
AST-22217,UPS Unit,Cisco,Phoenix-DC1,R36,U34,Active,End of Support,GlobalNet Supply,2018-01-09,2206.21,2021-01-08,False,8.0,34.9,2025-06-22,2018,193,True
AST-22555,Router,Ciena,Boston-DC1,R38,U13,In Storage,End of Support,Infra Partners Inc,2018-01-10,22001.95,2021-01-09,False,8.0,0.0,2025-08-28,2018,126,False
AST-21231,Patch Panel,Fortinet,Phoenix-DC1,R06,U40,Active,End of Support,GlobalNet Supply,2018-01-11,792.36,2021-01-10,False,8.0,26.5,2025-10-17,2018,76,False
AST-21555,Server,Dell,Atlanta-DC1,R28,U38,Active,End of Support,TechServe Logistics,2018-01-13,25134.85,2021-01-12,False,8.0,83.0,2025-02-27,2018,308,True
AST-20221,Load Balancer,Cisco,NewYork-DC1,R03,U28,Active,End of Support,DataCenter Direct,2018-01-13,20722.85,2021-01-12,False,8.0,71.0,2025-07-08,2018,177,False
AST-22348,Load Balancer,Juniper,Boston-DC1,R33,U22,Active,End of Support,TechServe Logistics,2018-01-14,15455.88,2023-01-13,False,8.0,85.9,2025-02-14,2018,321,True
AST-22609,Optical Transceiver,Fortinet,Chicago-DC2,R39,U4,Active,End of Support,TechServe Logistics,2018-01-15,936.52,2023-01-14,False,8.0,36.8,2025-01-21,2018,345,True
AST-21048,Switch,Ciena,Atlanta-DC1,R09,U41,In Maintenance,End of Support,Infra Partners Inc,2018-01-16,14234.87,2023-01-15,False,8.0,0.0,2025-05-15,2018,231,True
AST-22118,PDU,Fortinet,Chicago-DC1,R30,U20,Active,End of Support,Infra Partners Inc,2018-01-16,2454.62,2023-01-15,False,8.0,69.4,2025-01-14,2018,352,True
AST-20380,Optical Transceiver,Dell,Chicago-DC1,R23,U20,Active,End of Support,CoreEquip Distribution,2018-01-17,607.28,2021-01-16,False,8.0,23.2,2025-10-26,2018,67,False
AST-20828,Server,Cisco,Miami-DC1,R27,U36,Active,End of Support,NetGear Solutions,2018-01-18,25181.19,2021-01-17,False,8.0,71.3,2025-01-09,2018,357,True
AST-22749,Router,Arista,Austin-DC1,R02,U12,Active,End of Support,CoreEquip Distribution,2018-01-20,24834.06,2023-01-19,False,7.9,22.5,2025-03-19,2018,288,True
AST-20254,UPS Unit,Nokia,Chicago-DC2,R18,U7,Active,End of Support,TechServe Logistics,2018-01-22,6447.36,2023-01-21,False,7.9,22.0,2025-10-25,2018,68,False
AST-21237,Storage Array,Nokia,Denver-DC1,R07,U24,Active,End of Support,GlobalNet Supply,2018-01-23,25519.53,2023-01-22,False,7.9,55.2,2025-08-24,2018,130,False
AST-21958,PDU,Cisco,Seattle-DC1,R27,U33,Active,End of Support,GlobalNet Supply,2018-01-24,1889.46,2023-01-23,False,7.9,34.4,2025-08-24,2018,130,False
AST-20761,Storage Array,HPE,Miami-DC1,R40,U29,Active,End of Support,CoreEquip Distribution,2018-01-24,58488.53,2023-01-23,False,7.9,90.8,2025-07-18,2018,167,False
AST-22382,UPS Unit,Palo Alto Networks,Boston-DC1,R19,U10,Decommissioned,End of Support,NetGear Solutions,2018-01-25,3786.43,2021-01-24,False,7.9,0.0,2025-08-01,2018,153,False
AST-21460,Router,Fortinet,Dallas-DC1,R13,U17,Active,End of Support,Infra Partners Inc,2018-01-26,6868.72,2021-01-25,False,7.9,85.3,2025-10-19,2018,74,False
AST-21727,Server,Fortinet,Phoenix-DC1,R26,U25,In Storage,End of Support,TechServe Logistics,2018-01-27,18027.44,2023-01-26,False,7.9,0.0,2025-11-29,2018,33,False
AST-21344,Optical Transceiver,Juniper,NewYork-DC2,R26,U7,Active,End of Support,TechServe Logistics,2018-01-30,1646.14,2023-01-29,False,7.9,43.8,2025-07-03,2018,182,True
AST-20500,PDU,HPE,Miami-DC1,R27,U36,Active,End of Support,GlobalNet Supply,2018-01-30,1434.11,2023-01-29,False,7.9,46.6,2025-05-22,2018,224,True
AST-20368,Optical Transceiver,Ciena,Miami-DC1,R24,U36,Active,End of Support,TechServe Logistics,2018-01-31,1998.97,2023-01-30,False,7.9,62.5,2025-02-03,2018,332,True
AST-22323,Optical Transceiver,Juniper,Miami-DC1,R31,U32,Active,End of Support,GlobalNet Supply,2018-01-31,1588.99,2023-01-30,False,7.9,49.5,2025-12-10,2018,22,False
AST-21994,UPS Unit,Cisco,Denver-DC1,R40,U20,Active,End of Support,CoreEquip Distribution,2018-02-02,5320.4,2023-02-01,False,7.9,22.0,2025-04-15,2018,261,True
AST-22607,UPS Unit,Cisco,Atlanta-DC1,R03,U6,Active,End of Support,NetGear Solutions,2018-02-02,2225.55,2023-02-01,False,7.9,83.7,2025-08-03,2018,151,False
AST-21197,Optical Transceiver,Cisco,Boston-DC1,R25,U15,In Storage,End of Support,CoreEquip Distribution,2018-02-02,446.37,2021-02-01,False,7.9,0.0,2025-01-21,2018,345,True
AST-22929,Switch,Palo Alto Networks,Chicago-DC1,R20,U36,Active,End of Support,DataCenter Direct,2018-02-03,4153.22,2021-02-02,False,7.9,20.8,2025-12-29,2018,3,False
AST-22746,Load Balancer,Ciena,NewYork-DC2,R18,U12,Active,End of Support,GlobalNet Supply,2018-02-03,18073.48,2021-02-02,False,7.9,75.7,2025-02-26,2018,309,True
AST-20499,UPS Unit,HPE,NewYork-DC2,R31,U20,In Storage,End of Support,Infra Partners Inc,2018-02-04,11469.58,2023-02-03,False,7.9,0.0,2025-12-27,2018,5,False
AST-20622,Server,Nokia,Denver-DC1,R07,U34,Active,End of Support,TechServe Logistics,2018-02-04,5358.84,2021-02-03,False,7.9,69.8,2025-11-08,2018,54,False
AST-21111,Patch Panel,Nokia,Atlanta-DC1,R10,U30,Active,End of Support,TechServe Logistics,2018-02-04,749.06,2023-02-03,False,7.9,27.0,2025-01-17,2018,349,True
AST-20830,PDU,Nokia,NewYork-DC1,R13,U29,Active,End of Support,GlobalNet Supply,2018-02-04,1656.73,2021-02-03,False,7.9,32.7,2025-12-27,2018,5,False
AST-22694,Firewall,Cisco,Miami-DC1,R10,U5,In Storage,End of Support,TechServe Logistics,2018-02-05,18518.4,2023-02-04,False,7.9,0.0,2025-12-07,2018,25,False
AST-22116,Firewall,HPE,Boston-DC1,R09,U38,Active,End of Support,NetGear Solutions,2018-02-06,15810.79,2023-02-05,False,7.9,16.8,2025-02-23,2018,312,True
AST-22781,Switch,Ciena,Phoenix-DC1,R06,U42,Active,End of Support,NetGear Solutions,2018-02-07,8755.86,2021-02-06,False,7.9,53.3,2025-01-06,2018,360,True
AST-21876,UPS Unit,Nokia,Phoenix-DC1,R12,U8,Active,End of Support,TechServe Logistics,2018-02-07,3602.64,2023-02-06,False,7.9,27.2,2025-10-03,2018,90,False
AST-20941,Firewall,Dell,Austin-DC1,R37,U7,Active,End of Support,GlobalNet Supply,2018-02-07,15615.32,2023-02-06,False,7.9,77.8,2025-01-18,2018,348,True
AST-20101,Storage Array,HPE,NewYork-DC2,R35,U11,Active,End of Support,DataCenter Direct,2018-02-08,55060.47,2023-02-07,False,7.9,50.3,2025-11-24,2018,38,False
AST-22257,Storage Array,Palo Alto Networks,Seattle-DC1,R29,U22,Active,End of Support,DataCenter Direct,2018-02-08,13852.07,2021-02-07,False,7.9,42.0,2025-09-08,2018,115,False
AST-20920,Storage Array,Fortinet,Boston-DC1,R01,U38,In Maintenance,End of Support,TechServe Logistics,2018-02-08,23304.04,2021-02-07,False,7.9,0.0,2025-12-10,2018,22,False
AST-20474,PDU,Nokia,Denver-DC1,R06,U26,Active,End of Support,Infra Partners Inc,2018-02-09,1120.64,2023-02-08,False,7.9,74.9,2025-01-21,2018,345,True
AST-22267,PDU,Juniper,Chicago-DC1,R03,U42,Active,End of Support,NetGear Solutions,2018-02-09,994.06,2021-02-08,False,7.9,76.3,2025-04-08,2018,268,True
AST-20315,Router,Dell,Denver-DC1,R25,U20,Active,End of Support,DataCenter Direct,2018-02-09,3032.16,2023-02-08,False,7.9,31.4,2025-11-08,2018,54,False
AST-20792,UPS Unit,Cisco,NewYork-DC2,R06,U22,Active,End of Support,GlobalNet Supply,2018-02-10,11436.43,2023-02-09,False,7.9,47.1,2025-07-23,2018,162,False
AST-22305,Router,Arista,Chicago-DC1,R11,U39,Active,End of Support,Infra Partners Inc,2018-02-11,15430.98,2021-02-10,False,7.9,28.3,2025-12-08,2018,24,False
AST-20965,Switch,HPE,Denver-DC1,R09,U31,Active,End of Support,NetGear Solutions,2018-02-13,10639.95,2023-02-12,False,7.9,56.2,2025-04-21,2018,255,True
AST-22346,PDU,HPE,NewYork-DC2,R19,U35,Active,End of Support,Infra Partners Inc,2018-02-14,1397.34,2021-02-13,False,7.9,74.6,2025-06-25,2018,190,True
AST-20888,Optical Transceiver,Ciena,Dallas-DC1,R23,U12,Active,End of Support,TechServe Logistics,2018-02-15,476.29,2023-02-14,False,7.9,72.2,2025-09-12,2018,111,False
AST-21499,Router,Cisco,Miami-DC1,R20,U29,In Maintenance,End of Support,TechServe Logistics,2018-02-15,23463.51,2023-02-14,False,7.9,0.0,2025-06-19,2018,196,True
AST-21674,Load Balancer,Nokia,Chicago-DC1,R02,U2,Active,End of Support,TechServe Logistics,2018-02-17,25056.69,2021-02-16,False,7.9,40.8,2025-11-19,2018,43,False
AST-21891,Firewall,Nokia,Phoenix-DC1,R07,U33,Active,End of Support,DataCenter Direct,2018-02-18,17725.42,2021-02-17,False,7.9,72.2,2025-11-26,2018,36,False
AST-22990,Patch Panel,Fortinet,Miami-DC1,R39,U30,Active,End of Support,Infra Partners Inc,2018-02-18,337.21,2021-02-17,False,7.9,54.4,2025-11-10,2018,52,False
AST-21308,UPS Unit,Fortinet,NewYork-DC2,R13,U24,Active,End of Support,Infra Partners Inc,2018-02-19,10981.35,2023-02-18,False,7.9,17.6,2025-01-25,2018,341,True
AST-22196,PDU,Dell,Chicago-DC1,R29,U42,Active,End of Support,NetGear Solutions,2018-02-19,1865.39,2021-02-18,False,7.9,19.5,2025-10-06,2018,87,False
AST-21403,Switch,Arista,Chicago-DC1,R20,U2,Active,End of Support,Infra Partners Inc,2018-02-21,5912.61,2021-02-20,False,7.9,60.1,2025-03-16,2018,291,True
AST-20414,PDU,Palo Alto Networks,Atlanta-DC1,R25,U10,Active,End of Support,NetGear Solutions,2018-02-22,766.18,2023-02-21,False,7.9,68.6,2025-12-04,2018,28,False
AST-20389,Storage Array,Nokia,Phoenix-DC1,R37,U32,Active,End of Support,TechServe Logistics,2018-02-22,55344.0,2021-02-21,False,7.9,91.0,2025-10-16,2018,77,False
AST-21375,PDU,HPE,Seattle-DC1,R32,U16,In Maintenance,End of Support,TechServe Logistics,2018-02-22,2282.74,2021-02-21,False,7.9,0.0,2025-03-07,2018,300,True
AST-21973,Router,Arista,Austin-DC1,R14,U4,Active,End of Support,CoreEquip Distribution,2018-02-23,3794.54,2021-02-22,False,7.9,90.0,2025-08-12,2018,142,False
AST-21090,Switch,Fortinet,Chicago-DC1,R25,U13,Decommissioned,End of Support,GlobalNet Supply,2018-02-23,7820.03,2021-02-22,False,7.9,0.0,2025-04-26,2018,250,True
AST-21996,Storage Array,Arista,Chicago-DC2,R18,U9,In Storage,End of Support,GlobalNet Supply,2018-02-25,53505.79,2023-02-24,False,7.8,0.0,2025-08-31,2018,123,False
AST-22187,PDU,HPE,NewYork-DC2,R01,U39,Active,End of Support,NetGear Solutions,2018-02-27,735.73,2023-02-26,False,7.8,64.8,2025-12-25,2018,7,False
